date:,2019/03/11,start_time:,11:23:28,0.72,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.001468047577,-0.000824664476,0.000635016115,-0.032117953405,0.188430572689,-9.809558487400,9.811420659689,26.459849160000,79.627728488000,2,649C,OK
2,0.0010,-0.001083697506,-0.001215052600,0.000116201042,-0.019644499440,0.188239167489,-9.799419473577,9.801246956875,26.467432792000,79.641379025600,4,AC94,OK
3,0.0020,-0.001331649121,0.000080006685,0.000132933017,-0.007170428220,0.190606022877,-9.802763911430,9.804619440562,26.471224608000,79.648204294400,6,2E1C,OK
4,0.0030,-0.000808999097,-0.000181343294,0.000257990402,-0.008274903374,0.194024419116,-9.801612973801,9.803536649466,26.467432792000,79.641379025600,8,F555,OK
5,0.0040,-0.000805765354,-0.000957839176,0.000891354691,-0.012843937967,0.187054991607,-9.797174853406,9.798968805178,26.471224608000,79.648204294400,10,18E3,OK
6,0.0050,-0.000804459073,-0.000439910936,0.000897171034,-0.017275418193,0.186949384868,-9.790462428482,9.792262408457,26.459849160000,79.627728488000,12,E210,OK
7,0.0060,-0.001074585500,-0.001085718845,0.000632243764,-0.007094412318,0.193680570607,-9.783618995835,9.785538470098,26.467432792000,79.641379025600,14,3DC5,OK
8,0.0070,-0.000540848070,-0.000441390987,0.000897436685,-0.033236756359,0.180043160542,-9.790514820348,9.792226542982,26.463640976000,79.634553756800,16,309F,OK
9,0.0080,-0.000405767879,-0.000054284544,0.000645959709,-0.024239832842,0.193644844629,-9.784705495771,9.786651497541,26.475016424000,79.655029563200,18,6ECB,OK
10,0.0090,-0.000536933223,-0.000312268954,0.000899599837,-0.036720132728,0.178870057842,-9.790499220628,9.792201890017,26.471224608000,79.648204294400,20,6FD7,OK
11,0.0100,-0.000672035385,-0.001605244981,0.001654194548,-0.037794717770,0.180077109573,-9.792760899485,9.794489381308,26.463640976000,79.634553756800,22,8E0A,OK
12,0.0110,-0.000165020780,-0.002642847163,0.001254966061,-0.010480037922,0.204227459128,-9.795898725217,9.798032992441,26.459849160000,79.627728488000,24,E04A,OK
13,0.0120,-0.000686356534,-0.001734424939,0.000880694722,-0.010462361980,0.189359017906,-9.796065103528,9.797900683883,26.459849160000,79.627728488000,26,B92A,OK
14,0.0130,-0.001332330225,-0.000825613227,0.000764136151,-0.000280065480,0.197212298627,-9.788084200636,9.790070739678,26.467432792000,79.641379025600,28,108E,OK
15,0.0140,-0.000811631632,-0.001086951223,0.000760590818,-0.017330933744,0.204094113319,-9.790257481079,9.792399926176,26.463640976000,79.634553756800,30,F349,OK
16,0.0150,0.000114900754,-0.001221118615,0.001401954577,-0.012756792768,0.194867065872,-9.785864439012,9.787812765263,26.463640976000,79.634553756800,32,B100,OK
17,0.0160,-0.000803154790,-0.000440040765,0.000897430693,-0.011610381676,0.185741229560,-9.787092309075,9.788861551359,26.463640976000,79.634553756800,34,478C,OK
18,0.0170,-0.000800556211,-0.000698965936,0.001151590137,-0.015034333211,0.168523852052,-9.785019528987,9.786482182201,26.467432792000,79.641379025600,36,1D70,OK
19,0.0180,-0.000786225075,0.000077420090,0.001675616350,-0.027554979135,0.174465998707,-9.797330944132,9.798922965838,26.463640976000,79.634553756800,38,BFBD,OK
20,0.0190,-0.000409045564,-0.000700977288,0.001022999404,-0.013917924459,0.186825840321,-9.784815572933,9.786608881505,26.467432792000,79.641379025600,40,1DAC,OK
21,0.0200,0.000122081302,-0.000574449839,0.001282116323,-0.029914072072,0.193795810267,-9.792587095408,9.794550203503,26.471224608000,79.648204294400,42,6A95,OK
22,0.0210,-0.000404507538,-0.001089060446,0.001660791864,-0.018459743713,0.200617339709,-9.788045706362,9.790118836305,26.463640976000,79.634553756800,44,F80F,OK
23,0.0220,-0.000416877255,-0.001477279425,0.001013112418,-0.016223783818,0.200654075741,-9.790283723773,9.792353172821,26.467432792000,79.641379025600,46,FD2E,OK
24,0.0230,-0.000687650830,-0.001475633592,0.000626792939,-0.017291822215,0.202939921072,-9.789158579926,9.791277205841,26.459849160000,79.627728488000,48,E4A0,OK
25,0.0240,-0.001462826450,-0.000566158753,0.000638829095,-0.017349208236,0.174497460013,-9.798450008952,9.800019027354,26.467432792000,79.641379025600,50,2E72,OK
26,0.0250,-0.001195310587,-0.000179118223,0.000900458707,-0.020700155326,0.175699816864,-9.800710041795,9.802306679829,26.459849160000,79.627728488000,52,9592,OK
27,0.0260,-0.000552546671,-0.000053142048,-0.000126411602,-0.005958401039,0.200794454518,-9.795927418227,9.797986930931,26.463640976000,79.634553756800,54,0307,OK
28,0.0270,-0.000809668216,-0.000698786173,0.000636935588,-0.008226420790,0.189395753938,-9.798303102234,9.800136841333,26.463640976000,79.634553756800,56,DC0E,OK
29,0.0280,-0.001068050103,-0.000309650400,0.000385450623,0.000741267280,0.207767117941,-9.802564706370,9.804766317835,26.475016424000,79.655029563200,58,C374,OK
30,0.0290,-0.001207680304,-0.000826368234,0.000249998921,-0.001486144566,0.189538863601,-9.806154811760,9.807986510066,26.471224608000,79.648204294400,60,192D,OK
31,0.0300,-0.000301984491,-0.001089431957,-0.000139849913,-0.012746580001,0.187153434445,-9.800587769168,9.802382848292,26.459849160000,79.627728488000,62,7061,OK
32,0.0310,0.000106455870,-0.000833011489,0.000506966669,-0.013929483963,0.176727004195,-9.795052823843,9.796656893370,26.467432792000,79.641379025600,64,8115,OK
33,0.0320,0.000109713582,-0.000703639784,0.000637213222,-0.007109750172,0.177949655646,-9.798418959149,9.800037281944,26.467432792000,79.641379025600,66,53CC,OK
34,0.0330,0.000127959564,0.000331381795,0.001164792758,-0.007105897004,0.181315921885,-9.795006548414,9.796687156420,26.467432792000,79.641379025600,68,EFFA,OK
35,0.0340,0.000519458226,-0.000058804594,0.001288457975,-0.007145345217,0.174843010650,-9.815327484642,9.816887223815,26.467432792000,79.641379025600,70,0083,OK
36,0.0350,-0.000423356726,-0.000441980212,-0.000002756372,-0.024177583599,0.177041729485,-9.811928578701,9.813555459825,26.463640976000,79.634553756800,72,ADF9,OK
37,0.0360,-0.000299373928,-0.000830664578,-0.000136554251,-0.013885789783,0.179231544884,-9.805175246596,9.806823052258,26.459849160000,79.627728488000,74,53AD,OK
38,0.0370,-0.000288310491,-0.000830856326,0.000506701018,-0.012811896815,0.181726527470,-9.816384262809,9.818074590805,26.463640976000,79.634553756800,76,1766,OK
39,0.0380,-0.000261611635,0.000204237158,0.001677016507,-0.016171429362,0.180435529043,-9.808534816552,9.810207629953,26.459849160000,79.627728488000,78,C0DE,OK
40,0.0390,0.000246733220,-0.000057146776,0.000773537775,-0.018443751194,0.179265475210,-9.807421307029,9.809076866664,26.459849160000,79.627728488000,80,D68A,OK
41,0.0400,0.000372018304,-0.000575476488,0.000638609385,-0.029844471882,0.172303679219,-9.804102962232,9.805662351133,26.463640976000,79.634553756800,82,8822,OK
42,0.0410,-0.000683723999,-0.000828821005,0.000378092309,-0.013909189363,0.184787570406,-9.797225543145,9.798977918894,26.463640976000,79.634553756800,84,55CD,OK
43,0.0420,-0.001058960068,-0.000697639682,0.001408781590,-0.011673379107,0.189355950335,-9.797163032036,9.798999715277,26.467432792000,79.641379025600,86,F24C,OK
44,0.0430,-0.000518719199,-0.000182745448,0.002186719574,-0.007089773552,0.195073472242,-9.795990602706,9.797935283148,26.463640976000,79.634553756800,88,4F74,OK
45,0.0440,-0.000148045125,-0.000702195685,0.001022745738,-0.025280225692,0.182411848990,-9.793868947236,9.795600141293,26.463640976000,79.634553756800,90,D7FC,OK
46,0.0450,-0.000949943569,-0.001345135369,0.000371754651,-0.025294011056,0.177695945089,-9.787159140969,9.788804813998,26.467432792000,79.641379025600,92,72A6,OK
47,0.0460,-0.001462838434,-0.000824818274,0.000892473218,-0.020735488505,0.182486087947,-9.797246249248,9.798967557921,26.463640976000,79.634553756800,94,E158,OK
48,0.0470,-0.001325159664,-0.000178574938,0.000900716368,-0.008234519925,0.193992321850,-9.799376602403,9.801300047646,26.463640976000,79.634553756800,96,C765,OK
49,0.0480,-0.000944726436,-0.000698085095,0.000379736145,-0.017297246578,0.184564198873,-9.785976349235,9.787731925530,26.463640976000,79.634553756800,98,9562,OK
50,0.0490,-0.000805741385,-0.000051971589,0.000388238953,-0.018490699992,0.194909132744,-9.789221427720,9.791179072866,26.467432792000,79.641379025600,100,76F5,OK
51,0.0500,-0.000674600009,-0.000181792702,0.000643271248,-0.012737265060,0.185944792815,-9.797226534494,9.798999207679,26.459849160000,79.627728488000,102,45F6,OK
52,0.0510,-0.000016220648,-0.000314943433,0.000642412379,-0.019690643936,0.201909441713,-9.797003574464,9.799103743821,26.471224608000,79.648204294400,104,CFF7,OK
53,0.0520,0.000377876593,-0.000575514438,0.001024405553,-0.020752790353,0.186025447484,-9.802831229647,9.804618108951,26.463640976000,79.634553756800,106,2C19,OK
54,0.0530,-0.000025368607,-0.001220263740,0.000887300028,-0.034330046102,0.165248453249,-9.794067366699,9.795521486210,26.459849160000,79.627728488000,108,3E0D,OK
55,0.0540,0.000127937593,-0.000315456757,0.001670690833,-0.018442142589,0.188014673674,-9.787061839117,9.788884975974,26.463640976000,79.634553756800,110,8F24,OK
56,0.0550,-0.000277872231,-0.000054815845,0.000517105323,-0.028787562782,0.185965124825,-9.801674905064,9.803481151917,26.471224608000,79.648204294400,112,9AC0,OK
57,0.0560,-0.001324488547,0.000209352425,0.000520379014,-0.026515521520,0.196198447747,-9.798187338843,9.800187346722,26.471224608000,79.648204294400,114,B2E3,OK
58,0.0570,-0.000805118205,-0.000957721331,0.001019695752,-0.017369820816,0.198450830368,-9.794807212421,9.796832792859,26.467432792000,79.641379025600,116,9EFD,OK
59,0.0580,-0.000296118213,-0.001089837423,-0.000010474213,-0.033309611167,0.180042431058,-9.791613553158,9.793325317867,26.471224608000,79.648204294400,118,3700,OK
60,0.0590,-0.000040324919,-0.001220415541,-0.000269575152,-0.025330073719,0.188184231784,-9.797166024788,9.799005920755,26.467432792000,79.641379025600,120,D062,OK
61,0.0600,-0.001225904316,-0.000826008707,-0.000779308180,-0.021890877853,0.183757315505,-9.803980689605,9.805727067571,26.463640976000,79.634553756800,122,82BA,OK
62,0.0610,-0.001092152376,-0.001085608989,-0.000525146738,-0.010548665468,0.196263914199,-9.799336406002,9.801307300374,26.467432792000,79.641379025600,124,BC33,OK
63,0.0620,-0.000690237426,-0.001217077934,0.000116209032,-0.011675735899,0.180314285175,-9.802888784011,9.804553945791,26.467432792000,79.641379025600,126,DF3F,OK
64,0.0630,0.000240876928,-0.000316139858,0.000384963265,-0.012819416105,0.187152723667,-9.801686520683,9.803481480023,26.467432792000,79.641379025600,128,8C3C,OK
65,0.0640,-0.000552556658,-0.000441319082,0.000125842351,-0.008219836736,0.190474603651,-9.794916298234,9.796771581994,26.463640976000,79.634553756800,130,8926,OK
66,0.0650,-0.000169524851,-0.001090240892,-0.000139586260,-0.019590573789,0.179035613146,-9.796160796775,9.797816282092,26.463640976000,79.634553756800,132,DA89,OK
67,0.0660,0.000097345862,-0.000962349239,-0.000009078050,-0.019624934324,0.196007248299,-9.786958439533,9.788940671829,26.467432792000,79.641379025600,134,30D9,OK
68,0.0670,0.000235657799,-0.000574645582,0.000381150284,-0.029820380228,0.185996324265,-9.801712969130,9.803522888071,26.459849160000,79.627728488000,136,AB84,OK
69,0.0680,-0.000692836005,-0.000828641242,-0.000136562240,-0.007058443179,0.189452560113,-9.800566258763,9.802399761617,26.459849160000,79.627728488000,138,014E,OK
70,0.0690,-0.001201824013,-0.000696890668,0.000637187257,-0.000276810862,0.179064100405,-9.796161713305,9.797798137434,26.467432792000,79.641379025600,140,AF5F,OK
71,0.0700,-0.000162354290,-0.000702229640,-0.000005788381,-0.004830788172,0.177932690483,-9.797295910228,9.798912721901,26.467432792000,79.641379025600,142,1C2A,OK
72,0.0710,0.001152439020,-0.000709122567,0.000123095966,0.000828823983,0.181299443044,-9.793874614760,9.795552569643,26.471224608000,79.648204294400,144,3DB4,OK
73,0.0720,-0.000013622069,-0.000444353088,0.000897963991,-0.021932926019,0.171045731998,-9.798472174022,9.799989522482,26.471224608000,79.648204294400,146,9752,OK
74,0.0730,-0.000540176953,0.000205563412,0.000519877674,-0.017319841857,0.188146822383,-9.793810682094,9.795633051538,26.463640976000,79.634553756800,148,297C,OK
75,0.0740,-0.000542118398,0.000593752431,0.000139024998,-0.008245387356,0.203142137588,-9.799274212873,9.801383056159,26.463640976000,79.634553756800,150,61CC,OK
76,0.0750,-0.000816171656,-0.000569354546,0.000124188528,-0.005942314997,0.193867187404,-9.792630172333,9.794550805910,26.463640976000,79.634553756800,152,05A1,OK
77,0.0760,-0.000446799868,-0.001088672956,-0.001040042969,0.005493102911,0.191484414316,-9.785928858001,9.787803638659,26.459849160000,79.627728488000,154,D58B,OK
78,0.0770,0.000073898726,-0.001738553504,-0.001047758812,0.006557362958,0.183566471446,-9.791616695548,9.793339428457,26.467432792000,79.641379025600,156,8E9F,OK
79,0.0780,-0.000300680208,-0.001348594815,-0.000142370595,-0.015092261668,0.178892765349,-9.789390069299,9.791036121205,26.471224608000,79.648204294400,158,EF03,OK
80,0.0790,-0.001605692392,-0.000306380704,-0.000129988893,-0.010455703106,0.188172017614,-9.793828545083,9.795641663537,26.459849160000,79.627728488000,160,C08C,OK
81,0.0800,-0.001065463507,-0.000568208055,0.000896036528,-0.009371952761,0.190287986855,-9.785905103031,9.787759500364,26.467432792000,79.641379025600,162,CA9E,OK
82,0.0810,-0.001459602693,-0.001601314156,0.001525839504,-0.000251802678,0.182257292050,-9.783751892732,9.785449344943,26.467432792000,79.641379025600,164,583F,OK
83,0.0820,-0.000284407628,-0.000960397808,0.000762510291,0.011148562621,0.177597539660,-9.778187861597,9.779806901633,26.467432792000,79.641379025600,166,6CED,OK
84,0.0830,-0.000161048009,-0.000572845950,-0.000004140550,-0.004796090952,0.168588121403,-9.787276213690,9.788729265856,26.467432792000,79.641379025600,168,B352,OK
85,0.0840,-0.001595274106,-0.000436203815,0.000383535144,-0.010556652375,0.175644002038,-9.798429153211,9.800008986162,26.471224608000,79.648204294400,170,B51E,OK
86,0.0850,-0.000942127857,-0.000697979235,0.000636673932,-0.004784606266,0.184947215025,-9.803993109526,9.805738588013,26.459849160000,79.627728488000,172,63F9,OK
87,0.0860,-0.002249103456,-0.000302961206,0.000769932521,0.000962656114,0.180265353679,-9.797313305599,9.798971605863,26.456057344000,79.620903219200,174,C294,OK
88,0.0870,-0.001991344750,-0.000692947858,0.000380231493,0.003090577659,0.182556024822,-9.799486829203,9.801187599959,26.471224608000,79.648204294400,176,9AAE,OK
89,0.0880,-0.002008298433,-0.001598218231,0.000110722254,-0.009330690192,0.186016712388,-9.800603013499,9.802372606021,26.459849160000,79.627728488000,178,478E,OK
90,0.0890,-0.002513349623,-0.000431480033,0.000383517168,-0.003739724288,0.181419938724,-9.800619398817,9.802299106851,26.471224608000,79.648204294400,180,3758,OK
91,0.0900,-0.001983525043,-0.000045791723,0.000645150774,-0.016203451809,0.166807789308,-9.814298838344,9.815729676328,26.463640976000,79.634553756800,182,F628,OK
92,0.0910,-0.000933639031,0.000207588746,0.000519869684,-0.017318027501,0.173408191782,-9.800725117784,9.802274386560,26.463640976000,79.634553756800,184,8265,OK
