date:,2019/03/11,start_time:,11:24:43,0.22,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.001239134900,-0.000315183118,0.001942135525,-0.022680459374,0.204637279116,-9.790653833682,9.792818455900,26.672190856000,80.009943540800,2,5C7D,OK
2,0.0010,-0.000702171716,-0.000576856671,0.002839348504,-0.021568296588,0.210217358883,-9.783829535943,9.786111429868,26.675982672000,80.016768809600,4,5865,OK
3,0.0020,-0.000189931988,-0.000838626098,0.001936602808,-0.022787581193,0.198657405080,-9.779418967573,9.781463049144,26.687358120000,80.037244616000,6,8900,OK
4,0.0030,-0.001520314777,-0.000572626240,0.000781649098,-0.026127249348,0.197799850678,-9.792964556264,9.794996795013,26.675982672000,80.016768809600,8,1B2D,OK
5,0.0040,-0.001272990335,-0.001091451299,0.000132032203,-0.027269769862,0.208026346384,-9.789474521022,9.791722524606,26.675982672000,80.016768809600,10,53B4,OK
6,0.0050,-0.000865213101,-0.000834777165,0.000906968138,-0.031823821990,0.206894880348,-9.790608717944,9.792846231563,26.675982672000,80.016768809600,12,C285,OK
7,0.0060,-0.000743181734,-0.001223449547,0.000644559552,-0.022663064002,0.198831994754,-9.786219005314,9.788264922681,26.672190856000,80.009943540800,14,31E3,OK
8,0.0070,-0.000870422244,-0.000964136886,0.000648112875,-0.022727800971,0.214919832810,-9.790525706483,9.792910736690,26.675982672000,80.016768809600,16,CA01,OK
9,0.0080,-0.001272341190,-0.001220846973,0.000258993082,-0.036390799066,0.196808108754,-9.801967540103,9.804010678246,26.675982672000,80.016768809600,18,8782,OK
10,0.0090,-0.000611369241,-0.000706685774,0.000265596390,-0.042062606685,0.178518054084,-9.803292880360,9.805008376163,26.675982672000,80.016768809600,20,EDAA,OK
11,0.0100,-0.000343855376,-0.000578674279,0.000524461640,-0.036368110265,0.190959560421,-9.795283359276,9.797212066791,26.675982672000,80.016768809600,22,41BE,OK
12,0.0110,0.000313199728,-0.000711323669,0.000779775565,-0.028346898743,0.184038110468,-9.790880048329,9.792650595908,26.672190856000,80.009943540800,24,B3EF,OK
13,0.0120,-0.000479574725,-0.001095416080,0.000646211378,-0.026102821009,0.200163432743,-9.796326015394,9.798405490536,26.672190856000,80.009943540800,26,3C0B,OK
14,0.0130,-0.000210091452,-0.000191070490,0.000529149469,-0.029541212573,0.200351115708,-9.806445819490,9.808536734059,26.672190856000,80.009943540800,28,667D,OK
15,0.0140,-0.000076355492,-0.000838835822,0.001035590829,-0.019338191265,0.209467674489,-9.804088466089,9.806344952285,26.675982672000,80.016768809600,30,06AF,OK
16,0.0150,-0.000735382001,-0.001611670523,0.001411246346,-0.019319430451,0.223203864077,-9.803947900265,9.806507412757,26.672190856000,80.009943540800,32,4B01,OK
17,0.0160,-0.000738627728,-0.001223357668,0.001030116036,-0.010155866758,0.210587599724,-9.800734058631,9.803001497847,26.668399040000,80.003118272000,34,20D3,OK
18,0.0170,-0.000337349939,-0.000708101910,0.001037232668,-0.004524517406,0.210490372691,-9.796213431802,9.798475609485,26.675982672000,80.016768809600,36,6314,OK
