date:,2019/03/04,start_time:,17:39:45,0.35,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,Fc400-Kaiser8,TAP: ,128,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,0.026131784167,-0.018606599730,0.025965391194,0.679608880539,0.561942697561,0.412389040497,0.973505288415,34.834608020125,94.702294436225,2,7942,OK
2,0.0010,0.026083022353,-0.018603991164,0.025953440924,0.680947987455,0.562368697114,0.411248296930,0.974204226454,34.681631943375,94.426937498075,4,E22E,OK
3,0.0020,0.026037809867,-0.018603593687,0.025944912151,0.682444887225,0.562851353205,0.411569849435,0.975665112048,34.528685490188,94.151633882338,6,B096,OK
4,0.0030,0.025987376254,-0.018599928512,0.025931607664,0.683722436971,0.563252381983,0.409854740631,0.976068914086,34.375709413438,93.876276944188,8,8BA3,OK
5,0.0040,0.025940056542,-0.018598276686,0.025921189377,0.685134828904,0.563705783923,0.409397410704,0.977128540416,34.222762960250,93.600973328450,10,9A41,OK
6,0.0050,0.025897059141,-0.018599359261,0.025915165307,0.686742815889,0.564225138636,0.410743344836,0.979119909700,34.069786883500,93.325616390300,12,65CC,OK
7,0.0060,0.025836636676,-0.018589178662,0.025892489156,0.687599285419,0.564471816226,0.405129147694,0.977522805327,33.916870053875,93.050366096975,14,7D42,OK
8,0.0070,0.025806380503,-0.018598730089,0.025898653042,0.689765981807,0.565201149907,0.411641881237,0.982180476238,33.763805106438,92.774849191588,16,4690,OK
9,0.0080,0.025742368763,-0.018586094721,0.025872964856,0.690474796432,0.565384493381,0.404688502361,0.979891756168,33.610858653250,92.499545575850,18,1430,OK
10,0.0090,0.025695690207,-0.018584956220,0.025863331537,0.691943957130,0.565861556766,0.404694282113,0.981204975125,33.457852952938,92.224135315288,20,9A1B,OK
11,0.0100,0.025671046646,-0.018598286673,0.025875691268,0.694361034639,0.566674874552,0.413578472400,0.987068798365,33.304847252625,91.948725054725,22,A432,OK
12,0.0110,0.025570443072,-0.018561375260,0.025814565728,0.693501048625,0.566279775164,0.392084489587,0.977418403335,33.151871175875,91.673368116575,24,7950,OK
13,0.0120,0.025589689738,-0.018604085040,0.025868848275,0.697842409604,0.567822707201,0.418601769349,0.992287305551,32.998983969813,91.398171145663,26,7688,OK
14,0.0130,0.025486369740,-0.018564996493,0.025805913118,0.696842830411,0.567355987515,0.396083236567,0.982020711164,32.846096763750,91.122974174750,28,3EFA,OK
15,0.0140,0.025441650605,-0.018565381986,0.025797983556,0.698445224691,0.567889744847,0.397076100773,0.983866822289,32.693179934125,90.847723881425,30,B8E4,OK
16,0.0150,0.025467914034,-0.018612827532,0.025860736952,0.703071495668,0.569522609084,0.426497004713,1.000282572730,32.540203857375,90.572366943275,32,7DCF,OK
17,0.0160,0.025264683550,-0.018506880992,0.025700048470,0.697771387857,0.567455010199,0.364147167669,0.970305754921,32.387316651313,90.297169972363,34,F792,OK
18,0.0170,0.025406666655,-0.018632539585,0.025873783778,0.707500562987,0.571033967587,0.439917215796,1.010031680454,32.234399821688,90.021919679038,36,6A9F,OK
19,0.0180,0.025210420977,-0.018530465947,0.025721761888,0.702423359092,0.569005985257,0.380469487850,0.980776946019,32.081453368500,89.746616063300,38,9452,OK
20,0.0190,0.025170297792,-0.018534430728,0.025717501496,0.704316031618,0.569672602077,0.383478157625,0.983688692284,31.928477291750,89.471259125150,40,18BE,OK
21,0.0200,0.025314250304,-0.018661048059,0.025896374042,0.714037706164,0.573206032224,0.460101383255,1.024747912452,31.775471591438,89.195848864588,42,44ED,OK
