date:,2019/03/07,start_time:,17:45:17,0.07,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.000702111795,-0.000500311429,0.000631944158,0.144282073921,0.199706944528,-9.791566192856,9.794665317898,24.499480288000,76.099064518400,2,7D00,OK
2,0.0010,-0.000836648701,-0.001146327065,0.001008786113,0.147787484427,0.190500790232,-9.787199187733,9.790168519080,24.491896656000,76.085413980800,4,50EE,OK
3,0.0020,-0.000713297072,-0.001535135268,0.000746759025,0.131884411403,0.159658310352,-9.790907899628,9.793097659731,24.491896656000,76.085413980800,6,2067,OK
4,0.0030,-0.001498379650,-0.001660614098,0.000873895672,0.139784042371,0.188230020890,-9.789455255180,9.792262471586,24.495688472000,76.092239249600,8,1455,OK
5,0.0040,-0.000574218144,-0.000500820759,0.000503143701,0.154568499488,0.180407097899,-9.797427086292,9.800306916277,24.495688472000,76.092239249600,10,57E7,OK
6,0.0050,0.000072534521,-0.000503996578,-0.000011261177,0.142103406525,0.170057525263,-9.795297649667,9.797804294107,24.491896656000,76.085413980800,12,749C,OK
7,0.0060,-0.000188513855,-0.000890989172,0.000241124602,0.138640979421,0.181474949249,-9.795153941454,9.797815839010,24.495688472000,76.092239249600,14,0A2B,OK
8,0.0070,-0.001495785066,-0.001272295250,0.000878579507,0.139836733512,0.168844357095,-9.791935367530,9.794389259716,24.491896656000,76.085413980800,16,4E94,OK
9,0.0080,-0.001617812438,-0.001401383329,0.001391616185,0.138585987601,0.187290053578,-9.800699305297,9.803468289997,24.499480288000,76.099064518400,18,2F90,OK
10,0.0090,-0.001893257864,-0.001528879503,0.000875008208,0.138729789338,0.176814299032,-9.789608671133,9.792188069309,24.488104840000,76.078588712000,20,C7A4,OK
11,0.0100,-0.001241899261,-0.001532376899,0.000489667440,0.130752683501,0.174326723508,-9.780619734524,9.783046992738,24.491896656000,76.085413980800,22,94DE,OK
12,0.0110,-0.000968441220,-0.001145781783,0.000880506970,0.138662153141,0.176770773194,-9.788458275940,9.791036233147,24.495688472000,76.092239249600,24,A95C,OK
13,0.0120,-0.001354133525,-0.000237866891,0.000891782128,0.136408105802,0.181416216489,-9.791791790249,9.794422161543,24.491896656000,76.085413980800,26,F7FE,OK
14,0.0130,-0.001869069703,-0.000364783827,0.001533081971,0.136354629063,0.177026316812,-9.801950649759,9.804497306951,24.495688472000,76.092239249600,28,0D5E,OK
15,0.0140,-0.001222195198,0.000019827900,0.000510252344,0.133997855509,0.179351947040,-9.805270958548,9.807826523585,24.503272104000,76.105889787200,30,6261,OK
16,0.0150,-0.000586629806,-0.001018167764,0.000110662333,0.136380067456,0.198634155137,-9.794972786430,9.797935850845,24.491896656000,76.085413980800,32,54F8,OK
17,0.0160,-0.000708687140,-0.001535456845,0.000875829127,0.132908007431,0.188313649606,-9.795059931629,9.797771462597,24.499480288000,76.099064518400,34,F862,OK
18,0.0170,-0.000846349931,-0.001405314155,0.000363313762,0.151135158193,0.187055290882,-9.787214188903,9.790168185345,24.499480288000,76.099064518400,36,3DA3,OK
19,0.0180,-0.000329568182,-0.001795744223,0.000357587300,0.129614390249,0.171229973298,-9.797537892938,9.799891242124,24.488104840000,76.078588712000,38,4628,OK
20,0.0190,-0.000437164551,-0.000113356786,0.000636635982,0.134094521401,0.176891624264,-9.795202031238,9.797716816697,24.495688472000,76.092239249600,40,9D9B,OK
21,0.0200,-0.000562461620,0.000275471391,0.000770122271,0.130685758082,0.183637455784,-9.789500127757,9.792094476356,24.495688472000,76.092239249600,42,05C6,OK
22,0.0210,-0.001086523785,0.000148784152,0.000897001258,0.143199296220,0.187093411062,-9.789470518216,9.792305295992,24.495688472000,76.092239249600,44,1282,OK
23,0.0220,-0.001623670727,-0.000754043436,0.000756638021,0.151218637272,0.184703343140,-9.782767782326,9.785679735416,24.491896656000,76.085413980800,46,0F3E,OK
24,0.0230,-0.001748336627,-0.001012367399,0.001267757224,0.142066595674,0.187047752888,-9.787220698139,9.790038752402,24.495688472000,76.092239249600,48,DA2A,OK
25,0.0240,-0.001235917136,-0.000626904792,0.000116121147,0.157976121820,0.184695356233,-9.782746702128,9.785765267351,24.499480288000,76.099064518400,50,9F89,OK
26,0.0250,-0.001882763677,-0.000623311522,0.000886818661,0.136410743165,0.181394537741,-9.790667282361,9.793297590856,24.491896656000,76.085413980800,52,D993,OK
27,0.0260,-0.001737892375,-0.000365462933,0.001533085966,0.140932810255,0.176818732046,-9.790708881615,9.793319525347,24.495688472000,76.092239249600,54,C933,OK
28,0.0270,-0.002137935789,-0.000622161036,0.001272696722,0.146609144411,0.190530923505,-9.789434436849,9.792385963972,24.495688472000,76.092239249600,56,A2D4,OK
29,0.0280,-0.000954709295,0.000018697388,0.001023894226,0.129530499667,0.191704867915,-9.792782971031,9.795515669144,24.495688472000,76.092239249600,58,F6CA,OK
30,0.0290,-0.001091081785,0.000407771242,0.000514416862,0.138688040447,0.177990263551,-9.791831893127,9.794431414316,24.491896656000,76.085413980800,60,0F8B,OK
31,0.0300,-0.001370991334,-0.000626187736,-0.000140962448,0.136377448798,0.176538423405,-9.777198682217,9.779743283698,24.499480288000,76.099064518400,62,E280,OK
32,0.0310,-0.001001601570,-0.001533661209,-0.001052544513,0.122769199360,0.163964581313,-9.778467627802,9.780612752185,24.495688472000,76.092239249600,64,6A74,OK
33,0.0320,-0.000858659728,-0.001405334128,-0.000536206180,0.134045178401,0.183492456946,-9.782729606032,9.785368472181,24.503272104000,76.105889787200,66,15D5,OK
34,0.0330,-0.000048915611,-0.000373869867,0.000632821004,0.138709794014,0.187171054273,-9.792866693271,9.795637369905,24.488104840000,76.078588712000,68,9E6B,OK
35,0.0340,-0.000700845462,-0.000111844776,0.000636368335,0.139833909102,0.177927527986,-9.788459211175,9.791074785548,24.491896656000,76.085413980800,70,A39C,OK
36,0.0350,-0.001091089775,-0.000109973240,0.000765160802,0.132973660930,0.177881065510,-9.787316877708,9.789836328185,24.495688472000,76.092239249600,72,F41B,OK
37,0.0360,-0.000831417587,-0.001146516815,0.001266131364,0.126134025337,0.179097488295,-9.791797233317,9.794247227891,24.495688472000,76.092239249600,74,9A7D,OK
38,0.0370,-0.001500982225,-0.000883902500,0.000369106138,0.131888713484,0.183704961048,-9.791775835139,9.794386971683,24.488104840000,76.078588712000,76,1CCC,OK
39,0.0380,-0.001618381689,0.000022174811,0.000509717048,0.132962961841,0.184763908960,-9.788364397049,9.791010898814,24.495688472000,76.092239249600,78,BC2D,OK
40,0.0390,-0.001627577584,-0.001271747971,0.000750300363,0.140935260571,0.185858545441,-9.784983709486,9.787763398320,24.495688472000,76.092239249600,80,C5BB,OK
41,0.0400,-0.002150968633,-0.001139639867,0.000751936210,0.115896811837,0.157523168793,-9.801029779945,9.802980687886,24.495688472000,76.092239249600,82,29F9,OK
42,0.0410,-0.002411309941,-0.000361891634,0.000376210786,0.131814680279,0.175786849836,-9.797462251129,9.799925647106,24.495688472000,76.092239249600,84,0AA1,OK
