date:,2019/03/07,start_time:,17:47:00,0.42,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.001360780775,-0.001029450911,0.000267286165,0.010988974117,0.077206419485,-9.798220015955,9.798530352549,24.897620968000,76.815717742400,2,8696,OK
2,0.0010,-0.000423732232,-0.000904974762,0.001425927021,0.000753631087,0.073733218474,-9.797126688803,9.797404172122,24.897620968000,76.815717742400,4,320E,OK
3,0.0020,-0.000030212231,-0.000389279583,0.001175165105,0.001934627170,0.075947013298,-9.792616667540,9.792911359192,24.893829152000,76.808892473600,6,ACAB,OK
4,0.0030,-0.001197058286,-0.000124627950,0.001821462370,-0.018571167613,0.066724174409,-9.791567184206,9.791812137012,24.897620968000,76.815717742400,8,52D3,OK
5,0.0040,-0.000665815573,0.000390056560,0.001828335323,-0.009521047929,0.078210656149,-9.793681507433,9.793998418732,24.901412784000,76.822543011200,10,6524,OK
6,0.0050,-0.001081456455,0.000263029768,0.000540892012,0.004188655804,0.075832259961,-9.786982624711,9.787277301317,24.897620968000,76.815717742400,12,1F69,OK
7,0.0060,-0.000165270451,0.000129167973,0.000667289632,-0.012817770091,0.081537455470,-9.786932290362,9.787280332554,24.890037336000,76.802067204800,14,E2FC,OK
8,0.0070,-0.000945087960,-0.000126028106,0.001050417313,-0.003812803553,0.087132386770,-9.781213028918,9.781601857946,24.901412784000,76.822543011200,16,7B8C,OK
9,0.0080,-0.002545191709,-0.000635105996,-0.000242001448,0.009834707051,0.095457848949,-9.795764930494,9.796234965327,24.897620968000,76.815717742400,18,8CC9,OK
10,0.0090,-0.001758894729,-0.001027100006,0.000138202082,0.004192845657,0.085457941984,-9.810521199628,9.810894294006,24.890037336000,76.802067204800,20,AB2A,OK
11,0.0100,0.000352274294,-0.000132419693,0.000278611258,0.011045331379,0.072513129567,-9.791537069638,9.791811800652,24.893829152000,76.808892473600,22,38BA,OK
12,0.0110,-0.000429520613,0.000389203683,0.000285190597,0.003051522244,0.076122687845,-9.801613759398,9.801909827366,24.893829152000,76.808892473600,24,7CBD,OK
13,0.0120,-0.001871158953,-0.000120796992,0.000792502811,0.003098414928,0.081699849679,-9.793690841078,9.794032098999,24.890037336000,76.802067204800,26,8135,OK
14,0.0130,-0.002511392200,0.000270655730,0.001568747024,0.011087098975,0.071337239867,-9.789313810235,9.789580011462,24.890037336000,76.802067204800,28,2B1F,OK
15,0.0140,-0.001601591790,-0.000510959413,0.001174268285,0.004129100038,0.066661682005,-9.787059313983,9.787287205591,24.905204600000,76.829368280000,30,7B94,OK
16,0.0150,-0.000571174151,-0.001680679685,0.000773529786,0.001868281597,0.074759751140,-9.791479010248,9.791764586579,24.901412784000,76.822543011200,32,8376,OK
17,0.0160,-0.000567207373,-0.001033855114,0.000524935017,-0.006143446641,0.074819213383,-9.795958524144,9.796246172049,24.905204600000,76.829368280000,34,71CA,OK
