date:,2019/03/04,start_time:,17:37:08,0.95,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,Moving-Ave.,TAP: ,2,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.000694056399,-0.005120353967,0.000751331007,-0.161033760501,0.181016740201,-9.788534198320,9.791532090737,25.212341696000,77.382215052800,2,5168,OK
2,0.0010,-0.001230444339,-0.005246875424,0.000106729510,-0.174089622724,0.178049968955,-9.784065159055,9.787233522545,25.210445788000,77.378802418400,4,676B,OK
3,0.0020,-0.001618078089,-0.005115556283,0.000365622723,-0.183202197404,0.174551797168,-9.781841506854,9.785113930877,25.212341696000,77.382215052800,6,7338,OK
4,0.0030,-0.001022310311,-0.004924425872,0.000689252722,-0.179743735697,0.177892269625,-9.776195623950,9.779465954123,25.208549880000,77.375389784000,8,161D,OK
5,0.0040,-0.000959273288,-0.004601451010,0.000179525686,-0.166132269050,0.180104063046,-9.771662016059,9.774733549332,25.214237604000,77.385627687200,10,3F81,OK
6,0.0050,-0.001866417195,-0.004208336476,0.000826731755,-0.160362598439,0.186858461319,-9.764305419955,9.767409717101,25.206653972000,77.371977149600,12,7BE1,OK
7,0.0060,-0.001908807396,-0.002785018020,0.001295229062,-0.161565516431,0.193733710661,-9.765895076334,9.769152614670,25.212341696000,77.382215052800,14,717C,OK
8,0.0070,-0.000710372921,-0.001302998834,0.001635231509,-0.156386876944,0.192023596011,-9.764812841070,9.767952689168,25.206653972000,77.371977149600,16,BB11,OK
9,0.0080,-0.000513262382,-0.001110058806,0.001445129744,-0.164979479656,0.180851689924,-9.780103615724,9.783166782630,25.210445788000,77.378802418400,18,A922,OK
10,0.0090,-0.001032994247,0.000121959462,0.001010689607,-0.166665727108,0.184791330051,-9.776690307163,9.779856781284,25.208549880000,77.375389784000,20,E7F9,OK
11,0.0100,-0.001674787441,0.000901485355,0.001342235187,-0.168986718570,0.177493915619,-9.784630994949,9.787699643351,25.212341696000,77.382215052800,22,2AB2,OK
12,0.0110,-0.000963481748,0.000445014218,0.001014944007,-0.168398549264,0.168427616369,-9.788676428862,9.791573528413,25.210445788000,77.378802418400,24,E590,OK
13,0.0120,-0.002004389579,0.000126874992,0.001782166096,-0.154193208378,0.181079494471,-9.790794680076,9.793682953631,25.210445788000,77.378802418400,26,8EA2,OK
14,0.0130,-0.002461184290,0.000193862814,0.001847392238,-0.161621406076,0.187963853003,-9.792955110390,9.796092163871,25.212341696000,77.382215052800,28,5F19,OK
15,0.0140,-0.002000434784,0.000838464311,0.001534242443,-0.140559239977,0.190768211335,-9.787877551105,9.790745444849,25.212341696000,77.382215052800,30,0924,OK
16,0.0150,-0.001219898222,0.001352040280,0.000769491102,-0.146250911988,0.170949440200,-9.798781213083,9.801363491996,25.212341696000,77.382215052800,32,5FAC,OK
17,0.0160,-0.000172540881,0.000699575134,0.001018523296,-0.134324009371,0.181767453354,-9.795287754881,9.797894903882,25.214237604000,77.385627687200,34,32AB,OK
18,0.0170,-0.000037830203,0.000504899390,0.001465754595,-0.153629299068,0.174327378172,-9.796494806611,9.799250098466,25.210445788000,77.378802418400,36,5A74,OK
19,0.0180,-0.001272904448,0.000123125927,0.002489139492,-0.155874910588,0.162331286868,-9.797196569564,9.799781071897,25.208549880000,77.375389784000,38,2101,OK
20,0.0190,-0.001598184275,0.000771788079,0.002240253106,-0.156444880221,0.173096852042,-9.792013833748,9.794793129058,25.208549880000,77.375389784000,40,3E55,OK
21,0.0200,-0.001521185630,0.000512225746,0.002944703823,-0.152537468292,0.182603011029,-9.781754230721,9.784647534230,25.218029420000,77.392452956000,42,0AED,OK
22,0.0210,-0.001139116556,-0.000266033814,0.002741844850,-0.163893634384,0.182531184979,-9.778941174704,9.782017647459,25.216133512000,77.389040321600,44,F035,OK
23,0.0220,-0.000752096000,0.000379108971,0.001978465703,-0.171268336638,0.187727519112,-9.781702605748,9.785002827382,25.212341696000,77.382215052800,46,F643,OK
24,0.0230,-0.000731838665,0.002190504591,0.002130114085,-0.151370033117,0.194705494670,-9.785575844189,9.788683145293,25.212341696000,77.382215052800,48,E10A,OK
25,0.0240,-0.000734770805,0.002255295306,0.001937967012,-0.150762897245,0.191712331091,-9.778305121364,9.781346232272,25.210445788000,77.378802418400,50,5E5E,OK
26,0.0250,-0.001047043754,0.003033247271,0.002462099086,-0.153052689267,0.186723974523,-9.786795409364,9.789772998037,25.210445788000,77.378802418400,52,1114,OK
27,0.0260,-0.000055760601,0.003221924911,0.002657963265,-0.146842635187,0.180877521115,-9.780652916663,9.783427360254,25.218029420000,77.392452956000,54,E28D,OK
28,0.0270,0.000344212905,0.003284734233,0.003172649772,-0.161025885822,0.183217310802,-9.784010298169,9.787050394963,25.212341696000,77.382215052800,56,73AB,OK
29,0.0280,-0.001028821740,0.003227122069,0.003493195831,-0.161593517367,0.179806994993,-9.785172926236,9.788158775615,25.212341696000,77.382215052800,58,C70F,OK
30,0.0290,-0.000573988447,0.002966055717,0.003425494947,-0.171814233322,0.178626410414,-9.784060351947,9.787199011761,25.210445788000,77.378802418400,60,D8E8,OK
31,0.0300,0.000023754731,0.003221733163,0.003750211515,-0.170645919026,0.180645115212,-9.769978480789,9.773138298541,25.210445788000,77.378802418400,62,EF7B,OK
32,0.0310,0.000101376556,0.003285926664,0.004458255502,-0.178041813705,0.162348607421,-9.771296413984,9.774266702300,25.212341696000,77.382215052800,64,E4B7,OK
33,0.0320,0.001022430153,0.003087258175,0.004905372951,-0.177996922424,0.162430159915,-9.774689558877,9.777659353530,25.206653972000,77.371977149600,66,A9BB,OK
34,0.0330,0.000713722512,0.003153291254,0.005999358914,-0.176915210891,0.170938759816,-9.771763358127,9.774859496621,25.212341696000,77.382215052800,68,E0A1,OK
35,0.0340,0.000412830582,0.003672216182,0.007356110992,-0.182651811593,0.170441832039,-9.776813290569,9.780004612526,25.216133512000,77.389040321600,70,B409,OK
36,0.0350,0.000287148021,0.003867277419,0.007807876323,-0.179125189957,0.167444067104,-9.767883703974,9.770960822951,25.206653972000,77.371977149600,72,E692,OK
37,0.0360,-0.000086130624,0.004774792837,0.008462486646,-0.178600654041,0.168642776538,-9.771231976291,9.774319051177,25.210445788000,77.378802418400,74,A843,OK
38,0.0370,-0.000328621429,0.005099477447,0.009559374788,-0.178036314524,0.171513779718,-9.771762628643,9.774889195099,25.210445788000,77.378802418400,76,08D9,OK
39,0.0380,-0.001290934715,0.005169149736,0.010974218399,-0.170074434312,0.180209969060,-9.776739163841,9.779878814379,25.208549880000,77.375389784000,78,0DBC,OK
40,0.0390,-0.001086667596,0.005491429512,0.011171458767,-0.161005273242,0.176819180959,-9.778457994881,9.781381726444,25.212341696000,77.382215052800,80,D02D,OK
41,0.0400,-0.000801199364,0.006266197668,0.012145706344,-0.166150580952,0.174591862637,-9.782409475084,9.785378044422,25.214237604000,77.385627687200,82,9E22,OK
42,0.0410,-0.000585920740,0.006523888464,0.013241645735,-0.156442411200,0.169945184832,-9.777413599226,9.780141731294,25.212341696000,77.382215052800,84,4EE5,OK
43,0.0420,-0.000446947673,0.006782004700,0.013630493886,-0.159889930658,0.178856534344,-9.794752220602,9.797689804887,25.210445788000,77.378802418400,86,2009,OK
44,0.0430,-0.000112823488,0.007297845688,0.013701378579,-0.153068326396,0.178924619454,-9.797568493828,9.800397559448,25.210445788000,77.378802418400,88,7BAC,OK
45,0.0440,-0.000562779202,0.007817735346,0.013965085456,-0.141152814942,0.188853654309,-9.807026843600,9.809860617308,25.210445788000,77.378802418400,90,22EF,OK
46,0.0450,-0.001565087841,0.007499550180,0.012996594302,-0.153660704260,0.182663053118,-9.813279993310,9.816182640421,25.208549880000,77.375389784000,92,CB66,OK
47,0.0460,-0.001383309120,0.006916303919,0.012346508024,-0.145167311280,0.203259696631,-9.813048859326,9.816227175858,25.210445788000,77.378802418400,94,2E4F,OK
48,0.0470,-0.000417506427,0.005617389708,0.012008634774,-0.131522643791,0.198853916663,-9.820419521365,9.823313120410,25.210445788000,77.378802418400,96,9437,OK
49,0.0480,-0.000237419480,0.004322602065,0.011799172494,-0.130350326689,0.191363376199,-9.817136453634,9.819866562163,25.208549880000,77.375389784000,98,7CAC,OK
50,0.0490,-0.000854686957,0.003096406134,0.010691125041,-0.123580459629,0.201598962390,-9.814195083371,9.817043312836,25.214237604000,77.385627687200,100,B609,OK
51,0.0500,0.000112086458,0.002121111934,0.010292825331,-0.125258140328,0.197690577818,-9.818749958506,9.821538673443,25.210445788000,77.378802418400,102,5493,OK
52,0.0510,-0.000301285411,0.001152764591,0.009573496200,-0.127541179954,0.194195436192,-9.815968906231,9.818718052175,25.212341696000,77.382215052800,104,5595,OK
53,0.0520,-0.001104576023,0.000509982699,0.008922423221,-0.136087133142,0.199928576524,-9.817585572197,9.820564016946,25.212341696000,77.382215052800,106,B318,OK
54,0.0530,-0.001522138376,0.000188659663,0.007504247996,-0.133270916030,0.202852831986,-9.820922771331,9.823921543302,25.214237604000,77.385627687200,108,AE62,OK
55,0.0540,-0.000747486068,0.000119994049,0.006732074425,-0.129864060591,0.202352986275,-9.824305310660,9.827247134490,25.214237604000,77.385627687200,110,C9A3,OK
56,0.0550,-0.000627452071,-0.001109801145,0.006844837992,-0.134935784009,0.195291512935,-9.814263972783,9.817134193251,25.212341696000,77.382215052800,112,F6ED,OK
57,0.0560,-0.000694695557,-0.001497574710,0.007032598838,-0.143443074582,0.201989572650,-9.806315503842,9.809444401391,25.210445788000,77.378802418400,114,6E60,OK
58,0.0570,-0.000829424211,-0.001432232721,0.006712150651,-0.149152665695,0.194625756531,-9.810886558542,9.813950314087,25.212341696000,77.382215052800,116,8F17,OK
59,0.0580,-0.000886495087,-0.000396783705,0.006596780515,-0.150853727270,0.192874379312,-9.809217743871,9.812273442985,25.212341696000,77.382215052800,118,B268,OK
60,0.0590,-0.001165461877,-0.000783282948,0.005884338318,-0.138241372200,0.182385718524,-9.796991266771,9.799663928345,25.206653972000,77.371977149600,120,6084,OK
61,0.0600,-0.000906416864,-0.001496298390,0.006132399789,-0.135973408563,0.190384708861,-9.796340866927,9.799134119208,25.206653972000,77.371977149600,122,B5D1,OK
62,0.0610,-0.000171672024,-0.002017931753,0.007218989488,-0.132032590040,0.191422389529,-9.791250906425,9.794011917933,25.212341696000,77.382215052800,124,5A63,OK
63,0.0620,0.000141563657,-0.002989986216,0.006885226827,-0.132059169419,0.199568398812,-9.798470827283,9.801392642026,25.212341696000,77.382215052800,126,8108,OK
64,0.0630,-0.000252873138,-0.002470420133,0.006441980282,-0.138903986214,0.186516726441,-9.804792024693,9.807549615175,25.214237604000,77.385627687200,128,2F8F,OK
65,0.0640,-0.000071753549,-0.002471107228,0.005541655399,-0.131453866607,0.183150029994,-9.806542017764,9.809133009533,25.208549880000,77.375389784000,130,16FA,OK
