date:,2019/03/13,start_time:,14:23:10,0.98,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.009820467107,-0.005376241137,0.000083082637,0.011276970390,0.164474303105,-9.784252075127,9.785640890410,28.666686072000,83.600034929600,2,16D7,OK
2,0.0010,-0.009680944763,-0.004212688747,-0.000287589440,-0.001308749187,0.160971960171,-9.783130447763,9.784454764714,28.674269704000,83.613685467200,4,00C2,OK
3,0.0020,-0.008631260485,-0.003571125251,-0.000665342196,-0.001346457863,0.172605778836,-9.793126707312,9.794647787098,28.674269704000,83.613685467200,6,57B7,OK
4,0.0030,-0.008745430201,-0.003311624837,0.000367024877,-0.013859172994,0.173929454374,-9.803241666890,9.804794271744,28.670477888000,83.606860198400,8,F5D4,OK
5,0.0040,-0.007831441304,-0.003445786237,0.000108313425,-0.003655459613,0.179659059517,-9.803172365975,9.804819181253,28.674269704000,83.613685467200,10,FF00,OK
6,0.0050,-0.007429550322,-0.003447711702,0.000751396920,-0.003618143735,0.158129668706,-9.813551604265,9.814826191669,28.670477888000,83.606860198400,12,F6E4,OK
7,0.0060,-0.005848195893,-0.002808946523,0.000759907717,-0.000223502466,0.161406058859,-9.805628723354,9.806957052321,28.674269704000,83.613685467200,14,E54A,OK
8,0.0070,-0.006246789216,-0.002418668255,0.000249923021,0.010062380665,0.163661939259,-9.802248989731,9.803620338352,28.670477888000,83.606860198400,16,ECB7,OK
9,0.0080,-0.005863124243,-0.003067466228,0.000112779546,-0.003560477144,0.156824473412,-9.804578360899,9.805833132757,28.666686072000,83.600034929600,18,428F,OK
10,0.0090,-0.005717705660,-0.002162589337,0.000381889311,0.003260640795,0.146423706011,-9.799060810945,9.800155269692,28.670477888000,83.606860198400,20,EBAC,OK
11,0.0100,-0.005052341494,-0.001648633868,0.000517656597,0.000909516060,0.152094260415,-9.797844537797,9.799025006505,28.678061520000,83.620510736000,22,AADD,OK
12,0.0110,-0.004919244692,-0.002037458050,0.000898720994,0.005443628978,0.172651717580,-9.795368446959,9.796891408011,28.678061520000,83.620510736000,24,1D41,OK
