date:,2019/03/13,start_time:,14:22:50,0.65,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.005630055037,-0.002936177047,0.000621469946,0.030613010615,0.095182740214,-9.791057350185,9.791567849178,28.552931592000,83.395276865600,2,8D4C,OK
2,0.0010,-0.006422719635,-0.003837938039,0.000738849436,0.020339042378,0.096229212092,-9.787649596920,9.788143765291,28.556723408000,83.402102134400,4,C1A2,OK
3,0.0020,-0.005761847555,-0.003711915925,0.000997832531,0.004381781837,0.092958620396,-9.797800076724,9.798242028475,28.556723408000,83.402102134400,6,C7B0,OK
4,0.0030,-0.005909255519,-0.004358125305,0.000346286176,0.014619911867,0.110031055179,-9.791991780906,9.792620875550,28.556723408000,83.402102134400,8,C1ED,OK
5,0.0040,-0.005395885279,-0.004102322025,-0.000807612922,0.002014571059,0.091667621969,-9.792147946450,9.792577210142,28.568098856000,83.422577940800,10,6D57,OK
6,0.0050,-0.006972004599,-0.005258526088,-0.000050988882,0.007790975363,0.097249347751,-9.783115315661,9.783601760827,28.560515224000,83.408927403200,12,F7DD,OK
7,0.0060,-0.006967396665,-0.005128942662,0.000336139532,0.020353482407,0.111133472815,-9.788621530566,9.789273536973,28.552931592000,83.395276865600,14,08A7,OK
8,0.0070,-0.006827840366,-0.005129843476,0.000722636778,0.022563480177,0.097495950522,-9.794374684927,9.794885912544,28.560515224000,83.408927403200,16,07AE,OK
9,0.0080,-0.006169554881,-0.004744940133,0.000727330599,0.028296770146,0.105397264913,-9.787553286418,9.788161657079,28.556723408000,83.402102134400,18,B91D,OK
10,0.0090,-0.006953782585,-0.004223500515,0.000476830338,0.015720533852,0.112309830133,-9.791954109639,9.792610781524,28.560515224000,83.408927403200,20,9762,OK
11,0.0100,-0.006569472461,-0.004613533107,0.000214321883,0.032839674273,0.105493070389,-9.792056050257,9.792679353654,28.556723408000,83.402102134400,22,DD15,OK
12,0.0110,-0.007089455996,-0.003963946172,0.000093882421,0.020301445930,0.105596619611,-9.798796120729,9.799386113956,28.556723408000,83.402102134400,24,4A8A,OK
13,0.0120,-0.007095937464,-0.004481361087,0.000087043423,0.024905196448,0.093034187386,-9.798952772596,9.799426058111,28.552931592000,83.395276865600,26,9DC3,OK
14,0.0130,-0.006689560387,-0.004224846743,0.000605498969,0.008897264873,0.102043381186,-9.794313707604,9.794849310526,28.560515224000,83.408927403200,28,B75C,OK
15,0.0140,-0.006020848627,-0.003969353055,0.001380522788,0.002109908918,0.101975875922,-9.790947160794,9.791478429556,28.556723408000,83.402102134400,30,DA18,OK
16,0.0150,-0.006271386838,-0.002674100024,0.001396727457,0.021509601238,0.100797180517,-9.786487492585,9.787030202113,28.552931592000,83.395276865600,32,75A1,OK
17,0.0160,-0.004962112264,-0.001904802667,0.000506750953,0.030473641892,0.119214371036,-9.793000151309,9.793773158116,28.564307040000,83.415752672000,34,9068,OK
18,0.0170,-0.004960120886,-0.001257674496,0.000385810150,0.024847903950,0.115858373678,-9.796434839342,9.797151430010,28.556723408000,83.402102134400,36,7856,OK
19,0.0180,-0.005482033880,-0.001772542764,0.000893867383,0.024848502500,0.102260617577,-9.803337154386,9.803901980566,28.556723408000,83.402102134400,38,B52C,OK
20,0.0190,-0.004697194981,-0.002682345171,0.001268598117,0.014553285724,0.103479789954,-9.808928288631,9.809484901694,28.560515224000,83.408927403200,40,A68B,OK
21,0.0200,-0.003516345358,-0.001911961244,0.000892253507,0.032826599687,0.101068436083,-9.799981100913,9.800557228682,28.556723408000,83.402102134400,42,EBC6,OK
22,0.0210,-0.003382635364,-0.001783360524,0.000894155004,0.015734113465,0.105403007256,-9.789780941425,9.790360986059,28.560515224000,83.408927403200,44,DA56,OK
23,0.0220,-0.002736062462,-0.002174729357,0.000631650545,0.020320150631,0.103179224122,-9.792072491689,9.792637159790,28.556723408000,83.402102134400,46,DAD7,OK
24,0.0230,-0.002592561355,-0.001528511987,0.001025871623,0.030563106474,0.100955777672,-9.794355157220,9.794923129779,28.556723408000,83.402102134400,48,9466,OK
25,0.0240,-0.002340049742,-0.001400334709,0.000383956590,0.016916269239,0.098845307613,-9.804507488789,9.805020329032,28.552931592000,83.395276865600,50,7286,OK
26,0.0250,-0.001951940618,-0.001532031354,-0.000131572808,0.006586149492,0.086163127896,-9.802351790765,9.802732684914,28.564307040000,83.415752672000,52,740C,OK
27,0.0260,-0.001416297697,-0.000758221936,0.000263792764,0.033943251601,0.112574987967,-9.803228910284,9.803934023629,28.556723408000,83.402102134400,54,A035,OK
28,0.0270,-0.001540975580,-0.000369629449,0.000269237597,0.032737752360,0.105729254642,-9.805528428750,9.806153078692,28.564307040000,83.415752672000,56,3D57,OK
29,0.0280,-0.001414390208,-0.001017207028,0.000389671068,0.039542297935,0.118413173896,-9.809892459826,9.810686792801,28.564307040000,83.415752672000,58,8491,OK
30,0.0290,-0.000491816611,-0.001150972949,0.001030589413,0.038553791924,0.096559125599,-9.802298987395,9.802850376187,28.552931592000,83.395276865600,60,001A,OK
31,0.0300,-0.000104314688,-0.002188245565,0.001146598707,0.030508975071,0.112426921558,-9.796464280540,9.797156884023,28.560515224000,83.408927403200,62,107F,OK
32,0.0310,-0.000612553682,-0.001021049970,0.001547137469,0.045348517531,0.110159612585,-9.795388648035,9.796113024784,28.556723408000,83.402102134400,64,4AD3,OK
33,0.0320,-0.000740439344,-0.000502854082,0.001425056168,0.041963172498,0.096317273821,-9.789914998013,9.790478721360,28.556723408000,83.402102134400,66,C0B1,OK
34,0.0330,-0.001395447143,-0.000628892176,0.001552062986,0.038548105695,0.094043885822,-9.791062924186,9.791590442532,28.556723408000,83.402102134400,68,2DDC,OK
35,0.0340,-0.000752815053,-0.000761589503,0.000778453305,0.041934217621,0.120340038615,-9.789647015769,9.790476438706,28.556723408000,83.402102134400,70,88C5,OK
36,0.0350,-0.001281263445,-0.000370749974,0.000268732262,0.035121385864,0.114519809198,-9.785206445059,9.785939580381,28.556723408000,83.402102134400,72,E7DA,OK
37,0.0360,-0.001277368572,-0.000888400579,0.000777053148,0.024821062705,0.111249572891,-9.795348058835,9.796011236536,28.560515224000,83.408927403200,74,8526,OK
38,0.0370,-0.000363986876,-0.001539996869,0.000897498603,0.027089868053,0.111319079558,-9.798724313384,9.799394061274,28.560515224000,83.408927403200,76,97EE,OK
39,0.0380,-0.000378318012,-0.001798726298,0.000122231105,0.038488549929,0.107824517779,-9.794271378867,9.794940496909,28.560515224000,83.408927403200,78,AA5B,OK
40,0.0390,-0.000230914043,0.000141427835,0.000018012290,0.031715465660,0.115570302586,-9.780691747621,9.781425940402,28.556723408000,83.402102134400,80,B05D,OK
41,0.0400,0.000585181713,0.001301790425,0.001190800523,0.027147646873,0.107747566641,-9.790901521325,9.791532011546,28.556723408000,83.402102134400,82,4F8D,OK
42,0.0410,0.000467698359,0.001561087107,0.001837659050,0.068110174009,0.119023096769,-9.778417199929,9.779378734319,28.560515224000,83.408927403200,84,22AD,OK
43,0.0420,0.000456011742,0.000914304481,0.001571848941,0.049948227833,0.117723251019,-9.771680533713,9.772517282780,28.556723408000,83.402102134400,86,B185,OK
44,0.0430,0.000307343437,-0.000508099178,0.001424820478,0.048826563060,0.111084578728,-9.783017882876,9.783770373101,28.552931592000,83.395276865600,88,FD04,OK
45,0.0440,-0.000362035445,-0.000246054114,0.000270394074,0.047621157343,0.113596152384,-9.795352024232,9.796126435438,28.556723408000,83.402102134400,90,0F8E,OK
46,0.0450,0.000177434439,0.000527425738,0.000666522642,0.048733207900,0.097658251208,-9.800017967878,9.800625706061,28.560515224000,83.408927403200,92,375C,OK
47,0.0460,-0.000345095743,-0.000116714366,0.001301339019,0.037384411460,0.095379775529,-9.801173076655,9.801708451814,28.556723408000,83.402102134400,94,180A,OK
48,0.0470,-0.000346420000,-0.000375583611,0.001298301018,0.043023841242,0.101186200877,-9.805599880706,9.806216330403,28.560515224000,83.408927403200,96,CF1A,OK
49,0.0480,0.000049600710,0.000010659968,0.001302992842,0.053315672468,0.115852668744,-9.793080918205,9.793911285707,28.556723408000,83.402102134400,98,64FA,OK
50,0.0490,0.000181345291,0.000527415751,0.000923847919,0.038499192903,0.107738158177,-9.789771925759,9.790440442440,28.560515224000,83.408927403200,100,71E3,OK
51,0.0500,0.000300136923,0.000009349693,0.000531023003,0.041973890291,0.093964615301,-9.786565940099,9.787107032024,28.556723408000,83.402102134400,102,9B7E,OK
52,0.0510,0.000041093907,0.000398725149,0.000407547536,0.041936312548,0.091708473035,-9.788828217506,9.789347627405,28.560515224000,83.408927403200,104,F16D,OK
53,0.0520,-0.000879386445,0.000403630692,0.000407026223,0.047667507590,0.097657203744,-9.798918243718,9.799520797866,28.552931592000,83.395276865600,106,3DD8,OK
54,0.0530,-0.002076558581,-0.000366815153,-0.000374339249,0.057848214190,0.099878667496,-9.795499623023,9.796179613949,28.560515224000,83.408927403200,108,259F,OK
55,0.0540,-0.002993829158,-0.000491517006,-0.000247338423,0.040780717448,0.090713289447,-9.796714175339,9.797219023839,28.560515224000,83.408927403200,110,C40C,OK
56,0.0550,-0.002739358124,-0.001657290473,-0.000004823651,0.048764108065,0.089477937504,-9.791108414017,9.791638688931,28.560515224000,83.408927403200,112,BC0F,OK
57,0.0560,-0.004050040844,-0.002297625586,0.000373164795,0.046450841644,0.092871980223,-9.789930616438,9.790481314015,28.564307040000,83.415752672000,114,8F55,OK
