date:,2019/03/13,start_time:,14:22:11,0.42,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.001763093202,-0.001264753178,0.002421933956,0.008472050917,0.190185241935,-9.804619361603,9.806467408186,28.223043600000,82.801478480000,2,FE99,OK
2,0.0010,-0.002683008298,-0.000483743238,0.001788535712,-0.014269236143,0.175202496288,-9.801394353262,9.802970508675,28.223043600000,82.801478480000,4,F361,OK
3,0.0020,-0.000047303733,0.000667167793,0.001803655809,-0.000633771366,0.184197886019,-9.792290476268,9.794022770777,28.226835416000,82.808303748800,6,E20D,OK
4,0.0030,-0.000051813796,0.000279244425,0.001926855638,0.003980696945,0.178640139664,-9.799132543472,9.800761539287,28.219251784000,82.794653211200,8,799F,OK
5,0.0040,-0.002003912207,0.000547804913,0.002573887936,-0.020004995133,0.197906280423,-9.793248082113,9.795267994980,28.226835416000,82.808303748800,10,81C7,OK
6,0.0050,-0.000428977328,0.000280986132,0.002827927538,-0.013156755378,0.209100332876,-9.779627375345,9.781871377708,28.226835416000,82.808303748800,12,4579,OK
7,0.0060,0.001547850531,0.000400394951,0.003472612924,0.011941585807,0.188616460002,-9.782137957652,9.783963501209,28.223043600000,82.801478480000,14,ED59,OK
8,0.0070,-0.000422455912,-0.000236574592,0.003593254122,-0.004033294562,0.193126088467,-9.780937527385,9.782844824902,28.226835416000,82.808303748800,16,8E76,OK
9,0.0080,-0.002264173619,-0.000356340941,0.003462408357,-0.000498573791,0.182558419023,-9.765333224541,9.767039511094,28.219251784000,82.794653211200,18,9081,OK
10,0.0090,-0.000410745327,0.000927854645,0.003608072616,-0.003999083665,0.169060845298,-9.778955988826,9.780418078666,28.226835416000,82.808303748800,20,AAD3,OK
11,0.0100,-0.000004284360,0.000796523519,0.004635394330,-0.025644219163,0.192099948599,-9.788821446405,9.790739774186,28.223043600000,82.801478480000,22,B4E2,OK
12,0.0110,-0.001957015938,0.001323967233,0.005156813974,0.003876885857,0.191351517419,-9.806840002347,9.808707420711,28.226835416000,82.808303748800,24,9313,OK
13,0.0120,-0.002489994367,0.000421085716,0.005273674149,-0.024517653759,0.188800158865,-9.795609569252,9.797459540542,28.223043600000,82.801478480000,26,6A15,OK
14,0.0130,0.000797510220,-0.000372118173,0.006293329954,-0.002949506808,0.196970521668,-9.802271865580,9.804251109225,28.226835416000,82.808303748800,28,15AF,OK
15,0.0140,0.000019827900,-0.001015051865,0.007314302026,-0.022265682641,0.195505756574,-9.787647801269,9.789625515982,28.226835416000,82.808303748800,30,0249,OK
16,0.0150,-0.003248731624,-0.000998002308,0.008214025700,-0.047235429010,0.177617478871,-9.810369485803,9.812090939373,28.215459968000,82.787827942400,32,8B1E,OK
17,0.0160,-0.001376995431,-0.001136885493,0.010656800223,-0.040370990984,0.151300171061,-9.809543243069,9.810793046248,28.215459968000,82.787827942400,34,3F82,OK
18,0.0170,0.000633647916,-0.001147295790,0.013359059181,-0.049521723253,0.127258065607,-9.810903654639,9.811853929658,28.223043600000,82.801478480000,36,FC27,OK
19,0.0180,-0.000610634209,-0.000623373440,0.017354110409,-0.117831457711,0.091773621507,-9.817986021129,9.819121964876,28.226835416000,82.808303748800,38,8CFA,OK
20,0.0190,-0.001546306563,-0.001523854118,0.025575764068,-0.200783755430,0.016234464202,-9.824418567621,9.826483494419,28.219251784000,82.794653211200,40,CA62,OK
21,0.0200,0.000465497256,-0.002827755764,0.037910223952,-0.308880520124,-0.043570598342,-9.820491833737,9.825444795491,28.223043600000,82.801478480000,42,A8EF,OK
22,0.0210,0.000215885825,-0.003084719517,0.056175540920,-0.424942176486,-0.112186379110,-9.834671754935,9.844487298196,28.223043600000,82.801478480000,44,1A97,OK
23,0.0220,-0.002174429751,-0.003071802520,0.080104808307,-0.554630151027,-0.167513929160,-9.827316748730,9.844380630632,28.223043600000,82.801478480000,46,D154,OK
24,0.0230,-0.003554305391,-0.003840376829,0.110457534357,-0.719600166104,-0.237161330273,-9.794192257984,9.823455190613,28.230627232000,82.815129017600,48,E928,OK
25,0.0240,-0.001263824401,-0.003462608094,0.148928815776,-0.885524251838,-0.353557052586,-9.767266598496,9.813697193011,28.223043600000,82.801478480000,50,DA08,OK
26,0.0250,-0.000831595353,-0.003981019698,0.194979729961,-0.856215650920,-0.275255753458,-9.849670212531,9.890645796221,28.223043600000,82.801478480000,52,908E,OK
27,0.0260,-0.005019712444,-0.006157880249,0.240108591863,-0.757392564491,-0.081881453616,-9.839710464557,9.869156503750,28.223043600000,82.801478480000,54,32EA,OK
28,0.0270,-0.001887046040,-0.007854744630,0.283314890477,-0.928798941819,-0.344744594825,-9.754746962626,9.804927568057,28.226835416000,82.808303748800,56,492E,OK
29,0.0280,0.001468393122,-0.006188146409,0.339170902000,-1.200533572822,-0.622963677864,-9.773413000480,9.866557975371,28.223043600000,82.801478480000,58,7ECF,OK
