date:,2019/03/13,start_time:,14:22:25,0.05,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.002662161739,-0.001263357016,0.001143049379,0.040554166116,0.098311980489,-9.800776069388,9.801353041707,28.336798080000,83.006236544000,2,B986,OK
2,0.0010,-0.001489049931,-0.001010276152,0.000759628085,0.029294572393,0.089106555676,-9.797534357749,9.797983345644,28.325422632000,82.985760737600,4,A3FB,OK
3,0.0020,-0.000935941999,0.000668639855,0.001296427484,0.026935834845,0.076419662374,-9.794259651019,9.794594816305,28.336798080000,83.006236544000,6,30C9,OK
4,0.0030,-0.000671008737,0.000020582906,0.002059624871,0.040662073533,0.082168832634,-9.793106842920,9.793535968083,28.329214448000,82.992586006400,8,EC25,OK
5,0.0040,-0.000151752245,-0.000111788850,0.001544131426,0.041693207556,0.070827274914,-9.799945449754,9.800290079614,28.340589896000,83.013061812800,10,F331,OK
6,0.0050,-0.000296539658,-0.000369741302,0.000897302861,0.017841067040,0.070637983345,-9.792067198259,9.792338231678,28.336798080000,83.006236544000,12,BEFF,OK
7,0.0060,-0.001080086259,-0.000624499957,0.001279963157,0.030356157668,0.078649786402,-9.790862091817,9.791225040115,28.336798080000,83.006236544000,14,7747,OK
8,0.0070,-0.001359897937,-0.000752277761,0.000377211468,0.047513624020,0.079743973970,-9.785263438281,9.785703715238,28.329214448000,82.992586006400,16,E98D,OK
9,0.0080,-0.000449162757,-0.001145316395,-0.000013168666,0.041740829723,0.086594420880,-9.786281609947,9.786753733480,28.336798080000,83.006236544000,18,EEF8,OK
10,0.0090,-0.000451743360,-0.001274582240,-0.000015068165,0.033798514628,0.074200592825,-9.796552791183,9.796892091781,28.333006264000,82.999411275200,20,F158,OK
11,0.0100,-0.000702269587,-0.000755633343,0.000505880099,0.038390556003,0.084387153996,-9.789705149978,9.790144123049,28.329214448000,82.992586006400,22,9D98,OK
12,0.0110,-0.000564674706,-0.000368381092,0.000511330924,0.031506814727,0.070623113108,-9.789827403901,9.790132833708,28.336798080000,83.006236544000,24,B913,OK
13,0.0120,-0.001497592686,-0.000881186076,-0.000138549624,0.034878355691,0.095904367559,-9.795173263409,9.795704844860,28.336798080000,83.006236544000,26,BA1B,OK
14,0.0130,-0.000715298437,-0.000884977086,-0.000267699621,0.016744466565,0.081083342752,-9.798726483129,9.799076261404,28.329214448000,82.992586006400,28,E7AE,OK
15,0.0140,-0.000316727085,-0.001016603822,-0.000011518838,0.041728821305,0.087824741258,-9.790768212925,9.791251027265,28.336798080000,83.006236544000,30,466C,OK
16,0.0150,-0.001221661900,-0.001012059804,0.000760654734,0.036018669051,0.069541981421,-9.793205023893,9.793518166200,28.340589896000,83.013061812800,32,BC0E,OK
17,0.0160,-0.001493663858,-0.002045663249,0.000875879061,0.034881591604,0.082285306804,-9.800950659062,9.801358141529,28.336798080000,83.006236544000,34,CA44,OK
18,0.0170,-0.001624831200,-0.001398173554,0.000369741302,0.030290616397,0.077753569384,-9.804359964817,9.804715062596,28.340589896000,83.013061812800,36,A4FC,OK
19,0.0180,-0.001367757591,-0.001011238884,-0.000140193460,0.043981353564,0.094822543797,-9.797442330623,9.797999892639,28.336798080000,83.006236544000,38,67C9,OK
20,0.0190,-0.001484541865,-0.000622346791,0.000636422264,0.047443200822,0.100409469486,-9.789520066967,9.790149950865,28.333006264000,82.999411275200,40,430F,OK
21,0.0200,-0.001874670331,-0.000361472186,0.000768110919,0.033805809461,0.101622880814,-9.794009737516,9.794595284198,28.329214448000,82.992586006400,42,7B92,OK
22,0.0210,-0.002282457552,-0.000100865229,-0.000514652552,0.049679777972,0.095913458043,-9.794059155335,9.794654777478,28.336798080000,83.006236544000,44,CF74,OK
23,0.0220,-0.001626103525,-0.000492262025,-0.000133865790,0.055405193262,0.099346836747,-9.792913099633,9.793573735178,28.333006264000,82.999411275200,46,2670,OK
24,0.0230,-0.001480633011,-0.000622358776,0.000893733559,0.053115270307,0.097183881299,-9.799686052968,9.800311866235,28.333006264000,82.999411275200,48,F5CC,OK
25,0.0240,-0.000948928904,-0.000495677529,0.001281357322,0.047442995071,0.074358479201,-9.803311753402,9.803708551136,28.333006264000,82.999411275200,50,BED4,OK
26,0.0250,-0.000288733933,-0.000887409883,0.001662905082,0.032564322377,0.086844858114,-9.800884986859,9.801323838651,28.340589896000,83.013061812800,52,BD45,OK
27,0.0260,-0.000297833955,-0.000887274062,0.001148028825,0.034845005210,0.099573687354,-9.807508227772,9.808075587566,28.336798080000,83.006236544000,54,9432,OK
28,0.0270,-0.000296491722,-0.000498909275,0.001152456996,0.046317346196,0.099468978441,-9.799668545368,9.800282800680,28.329214448000,82.992586006400,56,424E,OK
29,0.0280,-0.000293285941,-0.000240365602,0.001027603343,0.042875737424,0.074164848142,-9.794296742440,9.794671379507,28.336798080000,83.006236544000,58,3C99,OK
30,0.0290,-0.000426374754,-0.000239686495,0.000898946697,0.049681554918,0.085704582164,-9.798673399189,9.799174144604,28.336798080000,83.006236544000,60,A34F,OK
31,0.0300,-0.001346925013,-0.000105606987,0.000643265256,0.046256911309,0.091438676435,-9.799731954303,9.800267706016,28.336798080000,83.006236544000,62,B264,OK
32,0.0310,-0.001878599159,-0.000490951750,0.000509407456,0.042870350470,0.088097661542,-9.804280114450,9.804769636637,28.333006264000,82.999411275200,64,7856,OK
33,0.0320,-0.001476140924,-0.000752080021,0.001021507368,0.033638552030,0.084807093226,-9.814396476881,9.814820528194,28.344381712000,83.019887081600,66,FE5F,OK
34,0.0330,-0.001618279823,-0.000880441056,0.000633126602,0.048539277565,0.096224853896,-9.809819081287,9.810411086776,28.333006264000,82.999411275200,68,2A21,OK
35,0.0340,-0.001102219125,-0.001659509552,0.000494858607,0.041697247771,0.081285129061,-9.807717421142,9.808142889744,28.336798080000,83.006236544000,70,0B57,OK
36,0.0350,-0.000695774137,-0.001014528554,0.001017464689,0.045150135478,0.079015818685,-9.807758403140,9.808180612566,28.333006264000,82.999411275200,72,0058,OK
37,0.0360,-0.000960685429,-0.001530934797,0.001011384692,0.048532749625,0.069632717923,-9.796588648094,9.796956327511,28.340589896000,83.013061812800,74,33F7,OK
38,0.0370,-0.000325171969,-0.001145853688,-0.000399386279,0.041740736200,0.069900569234,-9.810107732224,9.810445560548,28.333006264000,82.999411275200,76,DF0E,OK
39,0.0380,0.000071467925,-0.001147982885,-0.000270469975,0.042865206678,0.071984983645,-9.799946478513,9.800304599630,28.336798080000,83.006236544000,78,C6F7,OK
40,0.0390,-0.000033603767,0.000017179386,0.000773336041,0.029228619619,0.085651947137,-9.797546684147,9.797964666006,28.333006264000,82.999411275200,80,D524,OK
41,0.0400,-0.000695182916,-0.000238438139,0.000384573777,0.045103392431,0.092396057824,-9.790706637051,9.791246488589,28.340589896000,83.013061812800,82,E348,OK
42,0.0410,-0.001342285121,-0.000622836147,0.001536503467,0.056628461968,0.093587696882,-9.789629208895,9.790240318161,28.325422632000,82.985760737600,84,0F9D,OK
43,0.0420,-0.000943100576,-0.001142833663,0.001916912726,0.041703345503,0.082072091923,-9.789694207729,9.790127051174,28.340589896000,83.013061812800,86,6BD2,OK
44,0.0430,-0.000017319202,-0.001018053914,0.002432941466,0.050821307137,0.084562996885,-9.798686997507,9.799183669102,28.336798080000,83.006236544000,88,85FF,OK
45,0.0440,-0.000288082790,-0.001016795570,0.001789913898,0.048520067838,0.086726737931,-9.793022634359,9.793526843845,28.340589896000,83.013061812800,90,0F93,OK
