date:,2019/03/13,start_time:,14:21:19,0.15,LoggerVersion:,3.2,,,,,
PROD_ID: ,G364PDC0,VERSION: ,2510,SERIAL_NUM: ,00002410,,,,,,
COM Port: ,4,Rate[Sps]: ,1000,FilterType: ,No Filter,TAP: ,1,,,,
SF_Gyro[dps/LSB]: ,0.0075/2^16,SF_Accl[mG/LSB]: ,0.125/2^16,,,,,,,,
Comment:,,,,,,,,,,,
Sample No.,time[sec],Gx[rad/s],Gy[rad/s],Gz[rad/s],Ax[m/s2],Ay[m/s2],Az[m/s2],ATotal[m/s2],Ts[deg.C],Ts[deg.F],SamplingCount,CheckSum,CheckResult
1,0.0000,-0.001120750732,-0.001246918654,0.000571499723,-0.030268264280,0.158095289467,-9.814220877153,9.815540826359,27.491223112000,81.484201601600,2,4A13,OK
2,0.0010,-0.000472186451,-0.001638295476,0.000437683867,-0.017698686860,0.153492249728,-9.810919684567,9.812136269501,27.487431296000,81.477376332800,4,6C89,OK
3,0.0020,-0.001263636648,-0.001505198674,-0.000203064702,0.003818845171,0.168264698427,-9.805106432003,9.806550858239,27.498806744000,81.497852139200,6,D8BB,OK
4,0.0030,-0.000355390192,-0.001380357006,-0.000844807961,-0.002979677490,0.167161326851,-9.807376771137,9.808801706565,27.495014928000,81.491026870400,8,89B9,OK
5,0.0040,-0.000859762276,-0.000213153422,-0.000187097719,-0.009766584532,0.173891857926,-9.800559543775,9.802106974294,27.491223112000,81.484201601600,10,244B,OK
6,0.0050,-0.000469601853,-0.000474048000,-0.000318758411,-0.009818845465,0.172888014061,-9.808432707592,9.809961205555,27.495014928000,81.491026870400,12,D6D1,OK
7,0.0060,-0.000865604586,-0.001118613545,0.000186748179,-0.013100061431,0.157958632925,-9.804136237894,9.805417375743,27.483639480000,81.470551064000,14,6690,OK
8,0.0070,0.000336139532,0.000039388153,0.000588255666,0.005002646959,0.172724029952,-9.798320497606,9.799844039106,27.495014928000,81.491026870400,16,0D96,OK
9,0.0080,-0.000720807186,-0.000602025541,0.000579742872,0.001630282988,0.186259761266,-9.788054740732,9.789826911854,27.491223112000,81.484201601600,18,ADDD,OK
10,0.0090,-0.000198840262,-0.000863479383,0.000576459194,-0.016574777523,0.166906718469,-9.795007446239,9.796443408085,27.491223112000,81.484201601600,20,5542,OK
11,0.0100,-0.001507657438,-0.000856652370,0.000833434932,-0.000621444968,0.177288594122,-9.797166417587,9.798770404785,27.487431296000,81.477376332800,22,127F,OK
12,0.0110,-0.000973987919,-0.000212672055,0.000842195400,0.012964414943,0.195444199405,-9.789072500894,9.791031964962,27.495014928000,81.491026870400,24,A20E,OK
13,0.0120,-0.000203376291,-0.000863229712,0.000447315189,0.017636662073,0.177251016379,-9.792693469040,9.794313368135,27.483639480000,81.470551064000,26,8CA8,OK
